"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"02/01/2025 04:30:00 - 02/01/2025 04:45:00","BZN|DE-LU","Sequence 2","37.4","",""
"02/01/2025 04:45:00 - 02/01/2025 05:00:00","BZN|DE-LU","Sequence 1","12.75","",""
"02/01/2025 04:45:00 - 02/01/2025 05:00:00","BZN|DE-LU","Sequence 2","39.9","",""
"02/01/2025 05:00:00 - 02/01/2025 05:15:00","BZN|DE-LU","Sequence 1","30.07","",""
"02/01/2025 05:00:00 - 02/01/2025 05:15:00","BZN|DE-LU","Sequence 2","29.99","",""
"02/01/2025 05:15:00 - 02/01/2025 05:30:00","BZN|DE-LU","Sequence 1","30.07","",""
"02/01/2025 05:15:00 - 02/01/2025 05:30:00","BZN|DE-LU","Sequence 2","50.8","",""
"02/01/2025 05:30:00 - 02/01/2025 05:45:00","BZN|DE-LU","Sequence 1","30.07","",""
"02/01/2025 05:30:00 - 02/01/2025 05:45:00","BZN|DE-LU","Sequence 2","59.9","",""
"02/01/2025 05:45:00 - 02/01/2025 06:00:00","BZN|DE-LU","Sequence 1","30.07","",""
"02/01/2025 05:45:00 - 02/01/2025 06:00:00","BZN|DE-LU","Sequence 2","50.51","",""
"02/01/2025 06:00:00 - 02/01/2025 06:15:00","BZN|DE-LU","Sequence 1","67.13","",""
"02/01/2025 06:00:00 - 02/01/2025 06:15:00","BZN|DE-LU","Sequence 2","48.5","",""
"02/01/2025 06:15:00 - 02/01/2025 06:30:00","BZN|DE-LU","Sequence 1","67.13","",""
"02/01/2025 06:15:00 - 02/01/2025 06:30:00","BZN|DE-LU","Sequence 2","93.7","",""
"02/01/2025 06:30:00 - 02/01/2025 06:45:00","BZN|DE-LU","Sequence 1","67.13","",""
"02/01/2025 06:30:00 - 02/01/2025 06:45:00","BZN|DE-LU","Sequence 2","69.94","",""
"02/01/2025 06:45:00 - 02/01/2025 07:00:00","BZN|DE-LU","Sequence 1","67.13","",""
"02/01/2025 06:45:00 - 02/01/2025 07:00:00","BZN|DE-LU","Sequence 2","67.47","",""
"02/01/2025 07:00:00 - 02/01/2025 07:15:00","BZN|DE-LU","Sequence 1","98.83","",""
"02/01/2025 07:00:00 - 02/01/2025 07:15:00","BZN|DE-LU","Sequence 2","87.4","",""
"02/01/2025 07:15:00 - 02/01/2025 07:30:00","BZN|DE-LU","Sequence 1","98.83","",""
"02/01/2025 07:15:00 - 02/01/2025 07:30:00","BZN|DE-LU","Sequence 2","110.8","",""
"02/01/2025 07:30:00 - 02/01/2025 07:45:00","BZN|DE-LU","Sequence 1","98.83","",""
"02/01/2025 07:30:00 - 02/01/2025 07:45:00","BZN|DE-LU","Sequence 2","129.1","",""
"02/01/2025 07:45:00 - 02/01/2025 08:00:00","BZN|DE-LU","Sequence 1","98.83","",""
"02/01/2025 07:45:00 - 02/01/2025 08:00:00","BZN|DE-LU","Sequence 2","104.99","",""
"02/01/2025 08:00:00 - 02/01/2025 08:15:00","BZN|DE-LU","Sequence 1","121.53","",""
"02/01/2025 08:00:00 - 02/01/2025 08:15:00","BZN|DE-LU","Sequence 2","118.4","",""
"02/01/2025 08:15:00 - 02/01/2025 08:30:00","BZN|DE-LU","Sequence 1","121.53","",""
